,english,spanish,en_poss,en_tags,es_poss,es_tags
113,I'll be back late. So don't wait up for me.,Regresaré tarde asi que no me esperen.,PRON AUX VERB ADV ADV PUNCT ADV VERB ADV VERB PART ADP PRON PUNCT ,PRP MD VB RB RB . RB VB RB VB RP IN PRP . ,VERB ADV NOUN SCONJ ADV PRON VERB PUNCT ,MD VB RB NNP IN RB PRP VBP . 
114,"Well then, let's go there on Friday.",Entonces vayamos allí el viernes.,INTJ ADV PUNCT VERB PRON VERB ADV ADP PROPN PUNCT ,"UH RB , VB PRP VB RB IN NNP . ",ADV VERB ADV DET NOUN PUNCT ,RB MD VB RB DT NNP . 
115,Nobody can do such a thing.,Nadie puede hacer tal cosa.,NOUN VERB VERB DET DET NOUN PUNCT ,NN MD VB PDT DT NN . ,PRON AUX VERB DET NOUN PUNCT ,NN VBZ TO VB DT NN . 
116,"By the way, what brings you here?","¿A propósito, qué te trae por aquí?",ADP DET NOUN PUNCT PRON VERB PRON ADV PUNCT ,"IN DT NN , WP VBZ PRP RB . ",PUNCT ADP NOUN PUNCT PRON PRON VERB ADP ADV PUNCT ,". IN NNP , WP PRP VBZ IN RB . "
117,Then I'll see you there.,Entonces te veré allí.,ADV PRON AUX VERB PRON ADV PUNCT ,RB PRP MD VB PRP RB . ,ADV PRON VERB ADV PUNCT ,RB PRP MD VB RB . 
118,"Yes, it is.","Sí, lo es.",INTJ PUNCT PRON VERB PUNCT ,"UH , PRP VBZ . ",ADV PUNCT PRON AUX PUNCT ,"RB , PRP VBZ . "
119,"It looks really good on you, though.",Pero te queda bien.,PRON VERB ADV ADJ ADP PRON PUNCT ADV PUNCT ,"PRP VBZ RB JJ IN PRP , RB . ",CCONJ PRON VERB ADV PUNCT ,CC PRP VBZ RB . 
120,Work in groups of six.,Divídansen en grupos de seis.,VERB ADP NOUN ADP NUM PUNCT ,VB IN NNS IN CD . ,VERB ADP NOUN ADP NUM PUNCT ,VBD IN NNS IN CD . 
121,"This costs 5,000 won per bowl.",Esto cuesta 5.000 won por vajilla.,DET VERB NUM VERB ADP NOUN PUNCT ,DT VBZ CD VBN IN NN . ,PRON VERB NUM NOUN ADP NOUN PUNCT ,DT VBZ CD NN IN NN . 
122,"We need milk, butter and jam.","Necesitamos leche, mantequilla y jamón.",PRON VERB NOUN PUNCT NOUN CCONJ NOUN PUNCT ,"PRP VBP NN , NN CC NN . ",VERB NOUN PUNCT NOUN CCONJ NOUN PUNCT ,"VBP NN , NN CC NN . "
123,How did you draw this?,¿Cómo dibujaste esto?,ADV VERB PRON VERB DET PUNCT ,WRB VBD PRP VB DT . ,PUNCT PRON VERB PRON PUNCT ,. WDT VBZ DT . 
124,My mom bought me a picture book.,Mi mamá me compró un libro de dibujos.,DET NOUN VERB PRON DET NOUN NOUN PUNCT ,PRP$ NN VBD PRP DT NN NN . ,DET NOUN PRON VERB DET NOUN ADP NOUN PUNCT ,PRP$ NN PRP VBD DT NN IN NNS . 
125,Stop crying.,Para de gritar.,VERB VERB PUNCT ,VB VBG . ,ADP ADP VERB PUNCT ,IN IN TO VB . 
126,Does he know you?,¿Él te conoce?,VERB PRON VERB PRON PUNCT ,VBZ PRP VB PRP . ,PUNCT PRON PRON VERB PUNCT ,. PRP PRP VBZ . 
127,Is there a bus going that way?,¿Hay un autobús que va por esa dirección?,VERB ADV DET NOUN VERB DET NOUN PUNCT ,VBZ EX DT NN VBG DT NN . ,PUNCT AUX DET NOUN PRON VERB ADP DET NOUN PUNCT ,. VBZ DT NN DT VBZ IN DT NN . 
128,I want to go to the movie theater.,Quireo ir al cine.,PRON VERB PART VERB ADP DET NOUN NOUN PUNCT ,PRP VBP TO VB IN DT NN NN . ,ADJ VERB ADP NOUN PUNCT ,JJ TO VB IN NN . 
129,Do you live in this neighborhood?,¿Vives en esta vecindad?,VERB PRON VERB ADP DET NOUN PUNCT ,VBP PRP VB IN DT NN . ,PUNCT VERB ADP DET NOUN PUNCT ,. VBP IN DT NN . 
130,Which one is more important between speaking and writing?,¿Qué es más importante enre leer y redactar?,DET NOUN VERB ADV ADJ ADP VERB CCONJ NOUN PUNCT ,WDT NN VBZ RBR JJ IN VBG CC NN . ,PUNCT PRON AUX ADV ADJ NOUN VERB CCONJ VERB PUNCT ,. WP VBZ RB JJ NN TO VB CC TO VB . 
131,This machine seems to be broken.,Esta máquina parece estar rota.,DET NOUN VERB PART VERB VERB PUNCT ,DT NN VBZ TO VB VBN . ,DET NOUN AUX AUX ADJ PUNCT ,DT NN VBZ TO VB JJ . 
132,I'll wait here.,Esperaré aquí.,PRON AUX VERB ADV PUNCT ,PRP MD VB RB . ,VERB ADV PUNCT ,MD VB RB . 
133,My mom raised two children by herself.,Mi mamá crió a dos niños ella misma.,DET NOUN VERB NUM NOUN ADP PRON PUNCT ,PRP$ NN VBD CD NNS IN PRP . ,DET NOUN VERB ADP NUM NOUN PRON ADJ PUNCT ,PRP$ NN VBD IN CD NNS PRP JJ . 
134,What is the basics of a healthy life?,¿Cuáles son las bases para una vida sana?,PRON VERB DET NOUN ADP DET ADJ NOUN PUNCT ,WP VBZ DT NNS IN DT JJ NN . ,PUNCT PRON AUX DET NOUN ADP DET NOUN ADJ PUNCT ,. WP VBP DT NNS IN DT NN JJ . 
135,I'm not in the mood.,No estoy de humor.,PRON VERB ADV ADP DET NOUN PUNCT ,PRP VBP RB IN DT NN . ,ADV AUX ADP NOUN PUNCT ,RB VBP IN NN . 
136,How's life in your dormitory?,¿Cómo es tu vida en el nuevo refugio universitario?,ADV PART NOUN ADP DET NOUN PUNCT ,WRB POS NN IN PRP$ NN . ,PUNCT PRON AUX DET NOUN ADP DET ADJ NOUN ADJ PUNCT ,. WDT VBZ PRP$ NN IN DT JJ NN JJ . 
137,It's a painful memory for me.,Es un recuerdo doloroso para mí.,PRON VERB DET ADJ NOUN ADP PRON PUNCT ,PRP VBZ DT JJ NN IN PRP . ,AUX DET NOUN ADJ ADP PRON PUNCT ,VBZ DT NN JJ IN PRP . 
138,I just missed train.,Acabo de perder el tren.,PRON ADV VERB NOUN PUNCT ,PRP RB VBD NN . ,AUX ADP VERB DET NOUN PUNCT ,VBP IN TO VB DT NN . 
139,"Give me another chance, please.","Déme otra oportunidad, por favor.",VERB PRON DET NOUN PUNCT INTJ PUNCT ,"VB PRP DT NN , UH . ",VERB DET NOUN PUNCT ADP NOUN PUNCT ,"VBZ DT NN , IN NNP . "
140,Let's cross the street.,Crucemos la calle.,VERB PRON VERB DET NOUN PUNCT ,VB PRP VB DT NN . ,VERB DET NOUN PUNCT ,VBP DT NN . 
141,"In the winter, night is longer than day.","En el invierno, la noche es más larga que día.",ADP DET NOUN PUNCT NOUN VERB ADJ ADP NOUN PUNCT ,"IN DT NN , NN VBZ JJR IN NN . ",ADP DET NOUN PUNCT DET NOUN AUX ADV ADJ SCONJ NOUN PUNCT ,"IN DT NN , DT NN VBZ RB JJ IN NN . "
142,He ordered cheese gimbap.,Él pidió el gimbap de queso.,PRON VERB NOUN NOUN PUNCT ,PRP VBD NN NN . ,PRON VERB DET NOUN ADP NOUN PUNCT ,PRP VBD DT NN IN NN . 
143,I love Kimchi more than anything else.,Amo el kimchi más que cualquier otra cosa.,PRON VERB PROPN ADJ ADP NOUN ADV PUNCT ,PRP VBP NNP JJR IN NN RB . ,VERB DET NOUN ADV SCONJ DET DET NOUN PUNCT ,VBP DT NN RB IN DT DT NN . 
144,I didn't know that the water was so deep.,No sabía que el agua era tan profundo.,PRON VERB ADV VERB ADP DET NOUN VERB ADV ADJ PUNCT ,PRP VBD RB VB IN DT NN VBD RB JJ . ,ADV VERB SCONJ DET NOUN AUX ADV ADJ PUNCT ,RB VBD IN DT NN VBD RB JJ . 
145,Please peel me an apple.,"Córtame una manzana, por favor.",INTJ VERB PRON DET NOUN PUNCT ,UH VB PRP DT NN . ,VERB DET NOUN PUNCT ADP NOUN PUNCT ,"VBD DT NN , IN NNP . "
146,Do you think this room is clean?,¿Piensas que este sitio está limpio?,VERB PRON VERB DET NOUN VERB ADJ PUNCT ,VBP PRP VB DT NN VBZ JJ . ,PUNCT VERB SCONJ DET NOUN AUX ADJ PUNCT ,. VBP IN DT NN VBZ JJ . 
147,I pretended to take out some money from my purse.,Fingí tomar dinero de mi monedero.,PRON VERB PART VERB PART DET NOUN ADP DET NOUN PUNCT ,PRP VBD TO VB RP DT NN IN PRP$ NN . ,VERB VERB NOUN ADP DET NOUN PUNCT ,VBD TO VB NN IN PRP$ NN . 
148,I'll be there for sure.,"Estaré allí, sin lugar a dudas.",PRON AUX VERB ADV ADP ADJ PUNCT ,PRP MD VB RB IN JJ . ,VERB ADV PUNCT ADP NOUN ADP NOUN PUNCT ,"MD VB RB , IN NNP IN NNP . "
149,Water the flowers in an hour.,Regar las flores en una hora.,NOUN DET NOUN ADP DET NOUN PUNCT ,NN DT NNS IN DT NN . ,VERB DET NOUN ADP DET NOUN PUNCT ,TO VB DT NNS IN DT NN . 
150,I had a dream about eating pizza last night.,Ayer por la noche soñé que estaba comiendo pizza.,PRON VERB DET NOUN ADP VERB NOUN ADJ NOUN PUNCT ,PRP VBD DT NN IN VBG NN JJ NN . ,ADV ADP DET NOUN ADJ PRON AUX VERB NOUN PUNCT ,RB IN DT NN JJ DT VBD VBG NN . 
151,Did you put out the fire? (or Did you switch off the light?),¿Apagaste la luz?,VERB PRON VERB PART DET NOUN PUNCT PUNCT CCONJ VERB PRON VERB PART DET NOUN PUNCT PUNCT ,VBD PRP VB RP DT NN . -LRB- CC VBD PRP VB RP DT NN . -RRB- ,PUNCT PROPN DET NOUN PUNCT ,. NNP DT NN . 
152,The building is at the end of this street.,El edificio está a lo último de esta calle.,DET NOUN VERB ADP DET NOUN ADP DET NOUN PUNCT ,DT NN VBZ IN DT NN IN DT NN . ,DET NOUN VERB ADP DET ADJ ADP DET NOUN PUNCT ,DT NN VBZ IN DT JJ IN DT NN . 
153,School vacation ends tomorrow.,Las vacaciones (de la escuela) terminan mañana.,NOUN NOUN VERB NOUN PUNCT ,NN NN VBZ NN . ,DET NOUN PUNCT ADP DET NOUN PUNCT VERB ADV PUNCT ,DT NNS _LRB_ IN DT NN -RBR- VBP RB . 
154,We have to finish all the work today.,Tenemos que acabar todo el trabajo hoy.,PRON VERB PART VERB DET DET NOUN NOUN PUNCT ,PRP VBP TO VB PDT DT NN NN . ,VERB SCONJ VERB DET DET NOUN ADV PUNCT ,VBP IN TO VB DT DT NN RB . 
155,Who's there? - It's me.,¿Quién está allí? - Soy yo.,PRON VERB ADV PUNCT PUNCT PRON VERB PRON PUNCT ,WP VBZ RB . : PRP VBZ PRP . ,PUNCT PRON VERB ADV PUNCT PUNCT AUX PRON PUNCT ,. WP VBZ RB . SYM VBP PRP . 
156,Let's go out for lunch.,Salgamos para el almuerzo.,VERB PRON VERB PART ADP NOUN PUNCT ,VB PRP VB RP IN NN . ,VERB ADP DET NOUN PUNCT ,VBP IN DT NN . 
157,He split the apple into two with his bare hands.,Él partió la manzana en dos sólo con sus manos.,PRON VERB DET NOUN ADP NUM ADP DET ADJ NOUN PUNCT ,PRP VBD DT NN IN CD IN PRP$ JJ NNS . ,PRON VERB DET NOUN ADP NUM ADV ADP DET NOUN PUNCT ,PRP VBD DT NN IN CD RB IN PRP$ NNS . 
158,I guess an accident has happened up ahead.,Presiento que un accidente ha sucedido alli adelante. ,PRON VERB DET NOUN VERB VERB PART ADV PUNCT ,PRP VBP DT NN VBZ VBN RP RB . ,PROPN SCONJ DET NOUN AUX VERB ADP ADV PUNCT ,NNP IN DT NN VBZ VBN IN RB . 
159,which country do you want to visit?,¿qué país deseas visitar?,DET NOUN VERB PRON VERB PART VERB PUNCT ,WDT NN VBP PRP VB TO VB . ,PUNCT DET NOUN AUX VERB PUNCT ,. WDT NN VBZ TO VB . 
160,He is sitting under the tree.,Él está sentando debajo del árbol.,PRON VERB VERB ADP DET NOUN PUNCT ,PRP VBZ VBG IN DT NN . ,PRON AUX VERB ADV ADP NOUN PUNCT ,PRP VBZ VBG RB IN NN . 
161,How's that? - Not bad.,¿Cómo estuvo? - No tan malo.,ADV VERB DET PUNCT PUNCT ADV ADJ PUNCT ,WRB VBZ DT . : RB JJ . ,PUNCT PRON VERB PUNCT PUNCT ADV ADV ADJ PUNCT ,. WDT VBD . SYM RB RB JJ . 
162,Don't come out of your room.,No salgas de tu habitación.,VERB ADV VERB ADP ADP DET NOUN PUNCT ,VB RB VB IN IN PRP$ NN . ,ADV VERB ADP DET NOUN PUNCT ,RB VBP IN PRP$ NN . 
163,She looks younger than her age.,Ella parece más joven a comparación de la edad que tiene.,PRON VERB ADJ ADP DET NOUN PUNCT ,PRP VBZ JJR IN PRP$ NN . ,PRON AUX ADV ADJ ADP NOUN ADP DET NOUN PRON VERB PUNCT ,PRP VBZ RB JJ IN NNP IN DT NN DT VBZ . 
164,See you later.,Nos vemos después.,VERB PRON ADV PUNCT ,VB PRP RB . ,PRON VERB ADV PUNCT ,PRP VBP RB . 
165,My ex-girlfriend appeared in my dream last night.,Mi ex-novia apareció en mis sueños ayer por la noche.,DET NOUN NOUN NOUN VERB ADP DET NOUN ADJ NOUN PUNCT ,PRP$ NN NN NN VBD IN PRP$ NN JJ NN . ,DET ADJ PUNCT NOUN VERB ADP DET NOUN ADV ADP DET NOUN PUNCT ,PRP$ JJ SYM NN VBD IN PRP$ NNS RB IN DT NN . 
166,Her eyes expressed her true feelings.,Sus ojos expresaron sus verdaderos sentimientos.,DET NOUN VERB DET ADJ NOUN PUNCT ,PRP$ NNS VBD PRP$ JJ NNS . ,DET NOUN VERB DET ADJ NOUN PUNCT ,PRP$ NNS VBD PRP$ JJ NNS . 
167,Tomorrow is a special day. ,Mañana es un día especial.,NOUN VERB DET ADJ NOUN PUNCT ,NN VBZ DT JJ NN . ,ADV AUX DET NOUN ADJ PUNCT ,RB VBZ DT NN JJ . 
168,"The highter a bird flies, the farther it can see.","Más alto vuela el pajaro, más lejos puede ver.",DET ADJ DET NOUN VERB PUNCT DET ADV PRON VERB VERB PUNCT ,"DT JJR DT NN VBZ , DT RBR PRP MD VB . ",ADV ADJ VERB DET NOUN PUNCT ADV ADV AUX VERB PUNCT ,"RB JJ VBZ DT NN , RB RB VBZ TO VB . "
169,How is the weather? ,¿Cómo está el clima?,ADV VERB DET NOUN PUNCT ,WRB VBZ DT NN . ,PUNCT PRON VERB DET NOUN PUNCT ,. WDT VBZ DT NN . 
170,What's the date today? ,¿Qué fecha hoy?,PRON VERB DET NOUN NOUN PUNCT ,WP VBZ DT NN NN . ,PUNCT DET NOUN ADV PUNCT ,. WDT NN RB . 
171,Leave a message.,Déjame un mensaje.,VERB DET NOUN PUNCT ,VB DT NN . ,VERB DET NOUN PUNCT ,VBP DT NN . 
172,No one can know the relationship between a man and a woman.,Nadie pueden saber la relación entre un hombre y una mujer.,DET NOUN VERB VERB DET NOUN ADP DET NOUN CCONJ DET NOUN PUNCT ,DT NN MD VB DT NN IN DT NN CC DT NN . ,PRON AUX VERB DET NOUN ADP DET NOUN CCONJ DET NOUN PUNCT ,NN VBP TO VB DT NN IN DT NN CC DT NN . 
173,There's no food left over.,No sobró comida.,ADV VERB DET NOUN VERB PART PUNCT ,EX VBZ DT NN VBN RP . ,ADV VERB NOUN PUNCT ,RB VBD NN . 
174,This is my younger brother.,Éste es mi hermano menor.,DET VERB DET ADJ NOUN PUNCT ,DT VBZ PRP$ JJR NN . ,PRON AUX DET NOUN ADJ PUNCT ,DT VBZ PRP$ NN JJ . 
175,"Generally speaking, a woman will live longer than a man.","Generalmente, la mujer vive más que el hombre.",ADV VERB PUNCT DET NOUN VERB VERB ADV ADP DET NOUN PUNCT ,"RB VBG , DT NN MD VB RBR IN DT NN . ",ADV PUNCT DET NOUN VERB ADV SCONJ DET NOUN PUNCT ,"RB , DT NN VBZ RB IN DT NN . "
176,She is looking for a family man.,Ella está buscando un hombre de hogar.,PRON VERB VERB ADP DET NOUN NOUN PUNCT ,PRP VBZ VBG IN DT NN NN . ,PRON AUX VERB DET NOUN ADP NOUN PUNCT ,PRP VBZ VBG DT NN IN NN . 
177,Which way is south?,¿En qué dirección está el Sur?,DET NOUN VERB ADJ PUNCT ,WDT NN VBZ JJ . ,PUNCT ADP DET NOUN VERB DET PROPN PUNCT ,. IN WDT NN VBZ DT NNP . 
178,Hyean wants a perfect husband.,Hyean desea a marido perfecto.,PROPN VERB DET ADJ NOUN PUNCT ,NNP VBZ DT JJ NN . ,PROPN VERB ADP NOUN ADJ PUNCT ,NNP VBZ IN NN JJ . 
179,There were few male students in the class.,Había pocos estudiantes varones en la clase.,ADV VERB ADJ ADJ NOUN ADP DET NOUN PUNCT ,EX VBD JJ JJ NNS IN DT NN . ,AUX DET NOUN ADJ ADP DET NOUN PUNCT ,VBD DT NNS JJ IN DT NN . 
180,Bats sleep during the day.,Los murciélagos duermen durante el día.,NOUN VERB ADP DET NOUN PUNCT ,NNS VBP IN DT NN . ,DET NOUN VERB ADP DET NOUN PUNCT ,DT NNS VBP IN DT NN . 
181,Your grades are too low.,Tus grados son demasiado bajos.,DET NOUN VERB ADV ADJ PUNCT ,PRP$ NNS VBP RB JJ . ,DET NOUN AUX ADV ADJ PUNCT ,DT NNS VBP RB JJ . 
182,My wife gave birth to a son last night.,Mi esposa nació un hijo el ayer por la noche.,DET NOUN VERB NOUN ADP DET NOUN ADJ NOUN PUNCT ,PRP$ NN VBD NN IN DT NN JJ NN . ,DET NOUN VERB DET NOUN DET ADV ADP DET NOUN PUNCT ,PRP$ NN VBD DT NN DT RB IN DT NN . 
183,I'm going to get married next year.,Me voy a casar el próximo año. ,PRON VERB VERB PART VERB VERB ADJ NOUN PUNCT ,PRP VBP VBG TO VB VBN JJ NN . ,PRON AUX ADP VERB DET ADJ NOUN PUNCT ,PRP VBP IN TO VB DT JJ NN . 
184,Hand in your answer sheet.,Entreguen la hoja con las respuestas.,VERB ADP DET NOUN NOUN PUNCT ,VB IN PRP$ NN NN . ,VERB DET NOUN ADP DET NOUN PUNCT ,VBP DT NN IN DT NNS . 
185,Go down the stairs carefully.,Bajar las escaleras cuidadosamente.,VERB ADP DET NOUN ADV PUNCT ,VB IN DT NNS RB . ,VERB DET NOUN ADV PUNCT ,TO VB DT NNS RB . 
186,It is more difficult to come down the mountain.,Es más difícil bajar las montañas.,PRON VERB ADV ADJ PART VERB PART DET NOUN PUNCT ,PRP VBZ RBR JJ TO VB RP DT NN . ,AUX ADV ADJ VERB DET NOUN PUNCT ,VBZ RB JJ TO VB DT NNS . 
187,Did you see the snow fall yesterday?,¿Ayer has visto caer la nieve?,VERB PRON VERB DET NOUN NOUN NOUN PUNCT ,VBD PRP VB DT NN NN NN . ,PUNCT ADV AUX VERB VERB DET NOUN PUNCT ,. RB VBP VBN TO VB DT NN . 
188,Tomorrow is Monday. ,La mañana es lunes.,NOUN VERB PROPN PUNCT ,NN VBZ NNP . ,DET NOUN AUX NOUN PUNCT ,DT NN VBZ NNP . 
189,What is this smell?,¿Qué es este olor?,PRON VERB DET NOUN PUNCT ,WP VBZ DT NN . ,PUNCT PRON AUX DET NOUN PUNCT ,. WP VBZ DT NN . 
190,That restaurant is famous for naengmyeon.,Ese restaurante es famoso por negmion.,DET NOUN VERB ADJ ADP NOUN PUNCT ,DT NN VBZ JJ IN NN . ,DET NOUN AUX ADJ ADP NOUN PUNCT ,DT NN VBZ JJ IN NN . 
191,I need a refrigerator for kimchi.,Necesito un refrigerador para el kimchi.,PRON VERB DET NOUN ADP NOUN PUNCT ,PRP VBP DT NN IN NNS . ,VERB DET NOUN ADP DET NOUN PUNCT ,VBP DT NN IN DT NN . 
192,I'll always be with you.,Estaré siempre contigo.,PRON AUX ADV VERB ADP PRON PUNCT ,PRP MD RB VB IN PRP . ,VERB ADV VERB PUNCT ,MD VB RB VBP . 
193,The dress is too small for me.,El vestido es demasiado pequeño para mí.,DET NOUN VERB ADV ADJ ADP PRON PUNCT ,DT NN VBZ RB JJ IN PRP . ,DET ADJ AUX ADV ADJ ADP PRON PUNCT ,DT JJ VBZ RB JJ IN PRP . 
194,She wants to live in a large house.,Ella desea vivir en una casa amplia.,PRON VERB PART VERB ADP DET ADJ NOUN PUNCT ,PRP VBZ TO VB IN DT JJ NN . ,PRON VERB VERB ADP DET NOUN ADJ PUNCT ,PRP VBZ TO VB IN DT NN JJ . 
195,Don’t  put  your hand in your pocket.,No poner tu mano en tu bolsillo.,VERB ADV SPACE VERB SPACE DET NOUN ADP DET NOUN PUNCT ,VBP RB _SP VB _SP PRP$ NN IN PRP$ NN . ,ADV VERB DET NOUN ADP DET NOUN PUNCT ,RB TO VB PRP$ NN IN PRP$ NN . 
196,Did you go to school yesterday? - Yes.,¿Fuiste a la escuela ayer? - Sí.,VERB PRON VERB ADP NOUN NOUN PUNCT PUNCT INTJ PUNCT ,VBD PRP VB IN NN NN . : UH . ,PUNCT ADJ ADP DET NOUN ADV PUNCT PUNCT ADV PUNCT ,. JJ IN DT NN RB . SYM RB . 
197,How about wearing another necktie?,¿Qué tal usar otra corbata?,ADV ADP VERB DET NOUN PUNCT ,WRB IN VBG DT NN . ,PUNCT PRON NUM VERB DET NOUN PUNCT ,. WP CD TO VB DT NN . 
198,I go abroad twice a year.,Voy al extranjero dos veces al año.,PRON VERB ADV ADV DET NOUN PUNCT ,PRP VBP RB RB DT NN . ,VERB ADP NOUN NUM NOUN ADP NOUN PUNCT ,VBP IN NN CD NNS IN NN . 
199,This yellow hat suits you well.,Este sombrero amarillo te queda bien.,DET ADJ NOUN VERB PRON ADV PUNCT ,DT JJ NN VBZ PRP RB . ,DET NOUN ADJ PRON VERB ADV PUNCT ,DT NN JJ PRP VBZ RB . 
200,We sang and danced  all night long.,Cantamos y bailamos toda la noche.,PRON VERB CCONJ VERB SPACE DET NOUN ADV PUNCT ,PRP VBD CC VBD _SP DT NN RB . ,VERB CCONJ VERB DET DET NOUN PUNCT ,VBP CC VBD DT DT NN . 
201,I made an effort to smile in front of others.,Hice un esfuerzo para sonreír delante de otros.,PRON VERB DET NOUN PART VERB ADP NOUN ADP NOUN PUNCT ,PRP VBD DT NN TO VB IN NN IN NNS . ,VERB DET NOUN ADP VERB ADV ADP PRON PUNCT ,VBD DT NN IN TO VB RB IN DT . 
202,You can take notes in this lecture.,Puedes tomar notas en esta conferencia.,PRON VERB VERB NOUN ADP DET NOUN PUNCT ,PRP MD VB NNS IN DT NN . ,AUX VERB NOUN ADP DET NOUN PUNCT ,VBP TO VB NNS IN DT NN . 
203,Let's play at the playground.,Juguemos en el patio.,VERB PRON VERB ADP DET NOUN PUNCT ,VB PRP VB IN DT NN . ,VERB ADP DET NOUN PUNCT ,VBP IN DT NN . 
204,I was surprised by her sudden death.,Fui sorprendido por su muerte repentina.,PRON VERB ADJ ADP DET ADJ NOUN PUNCT ,PRP VBD JJ IN PRP$ JJ NN . ,AUX VERB ADP DET NOUN ADJ PUNCT ,VBD VBN IN PRP$ NN JJ . 
205,What traditional Korean games are there?,¿Qué juegos coreanos tradicionales hay?,DET ADJ ADJ NOUN VERB ADV PUNCT ,WDT JJ JJ NNS VBP RB . ,PUNCT DET NOUN ADJ ADJ AUX PUNCT ,. WDT NNS JJ JJ VBZ . 
206,No kidding!,¡Sin embromar!,DET NOUN PUNCT ,DT NN . ,PUNCT ADP VERB PUNCT ,. IN TO VB . 
207,This building is really high!,¡Este edificio es realmente alto!,DET NOUN VERB ADV ADJ PUNCT ,DT NN VBZ RB JJ . ,PUNCT DET NOUN AUX ADV ADJ PUNCT ,. DT NN VBZ RB JJ . 
208,Where do I put this box?,¿Dónde pongo esta caja?,ADV VERB PRON VERB DET NOUN PUNCT ,WRB VBP PRP VB DT NN . ,PUNCT PRON VERB DET NOUN PUNCT ,. WDT VBP DT NN . 
209,Who are you?,¿Quién es usted?,PRON VERB PRON PUNCT ,WP VBP PRP . ,PUNCT PRON AUX PRON PUNCT ,. WP VBZ PRP . 
210,My older sister looks like my mom.,Mi hermana mayor se parece a mi mamá.,DET ADJ NOUN VERB ADP DET NOUN PUNCT ,PRP$ JJR NN VBZ IN PRP$ NN . ,DET NOUN ADJ PRON VERB ADP DET NOUN PUNCT ,PRP$ NN JJ PRP VBZ IN PRP$ NN . 
211,His eyes met mine on the street.,Sus ojos se econtraron con los mios en la calle.,DET NOUN VERB PRON ADP DET NOUN PUNCT ,PRP$ NNS VBD PRP IN DT NN . ,DET NOUN PRON VERB ADP DET NOUN ADP DET NOUN PUNCT ,PRP$ NNS PRP VBD IN DT NNS IN DT NN . 
212,"As the snow melted, the roads became very slippery.",Los caminos están muy revaladizos porque la nieve se ha derretido.,ADP DET NOUN VERB PUNCT DET NOUN VERB ADV ADJ PUNCT ,"IN DT NN VBD , DT NNS VBD RB JJ . ",DET NOUN AUX ADV ADJ SCONJ DET NOUN PRON AUX VERB PUNCT ,DT NNS VBP RB JJ IN DT NN PRP VBZ VBN . 
213,The teacher cried tears of joy after the students left.,El profesor derramó sus lágrimas de felicidad cuando sus alumnos se marcharon.,DET NOUN VERB NOUN ADP NOUN ADP DET NOUN VERB PUNCT ,DT NN VBD NNS IN NN IN DT NNS VBD . ,DET NOUN VERB DET NOUN ADP NOUN SCONJ DET NOUN PRON VERB PUNCT ,DT NN VBD PRP$ NNS IN NN IN PRP$ NNS PRP VBD . 
214,He was lying on the bed reading a book.,Él estaba acostado en la cama leyendo un libro.,PRON VERB VERB ADP DET NOUN VERB DET NOUN PUNCT ,PRP VBD VBG IN DT NN VBG DT NN . ,PRON AUX ADJ ADP DET NOUN VERB DET NOUN PUNCT ,PRP VBD JJ IN DT NN VBG DT NN . 
215,What's the big news?,¿Cuál es la gran noticia?,PRON VERB DET ADJ NOUN PUNCT ,WP VBZ DT JJ NN . ,PUNCT PRON AUX DET ADJ NOUN PUNCT ,. WP VBZ DT JJ NN . 
216,I suddenly felt a sharp pain in my chest.,Sentía repentinamente un dolor agudo en mi pecho.,PRON ADV VERB DET ADJ NOUN ADP DET NOUN PUNCT ,PRP RB VBD DT JJ NN IN PRP$ NN . ,VERB NOUN DET NOUN ADJ ADP DET NOUN PUNCT ,VBD NN DT NN JJ IN PRP$ NN . 
217,Is it always hot in Korea?,¿Corea es siempre caluroso?,VERB PRON ADV ADJ ADP PROPN PUNCT ,VBZ PRP RB JJ IN NNP . ,PUNCT PROPN AUX ADV ADJ PUNCT ,. NNP VBZ RB JJ . 
218,I won't wear this sweater again. It has stretched.,No usaré este suéter otra vez. Se estiró.,PRON AUX ADV VERB DET NOUN ADV PUNCT PRON VERB VERB PUNCT ,PRP MD RB VB DT NN RB . PRP VBZ VBN . ,ADV VERB DET NOUN DET NOUN PUNCT PRON VERB PUNCT ,RB MD VB DT NN DT NN . PRP VBZ . 
219,Only one with special abilities can do this work.,Solamente uno con capacidades especiales puede hacer este trabajo.,ADV NUM ADP ADJ NOUN VERB VERB DET NOUN PUNCT ,RB CD IN JJ NNS MD VB DT NN . ,ADV PRON ADP NOUN ADJ AUX VERB DET NOUN PUNCT ,RB DT IN NNS JJ VBZ TO VB DT NN . 
220,Hurry up. We are going to be late.,Apúrate. Vamos a llegar tarde.,VERB PART PUNCT PRON VERB VERB PART VERB ADJ PUNCT ,VB RP . PRP VBP VBG TO VB JJ . ,PROPN PUNCT AUX ADP VERB ADV PUNCT ,NNP . VBP IN TO VB RB . 
221,The party was almost finished when we all arrived.,Cuando llegamos el partido estaba casi terminado.,DET NOUN VERB ADV VERB ADV PRON DET VERB PUNCT ,DT NN VBD RB VBN WRB PRP DT VBD . ,SCONJ VERB DET NOUN AUX ADV ADJ PUNCT ,IN VBP DT NN VBD RB JJ . 
