,error_type,Negative transfer?,Likely reason for mistake,incorrect_ud_tags,incorrect_ud_tags_padded,incorrect_ud_tags_unigram,incorrect_ud_tags_bigram,nlt,result
195,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT ADV,NOUN PUNCT ADV PRON,PUNCT ADV PRON,PUNCT ADV PRON VERB,True,True
196,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT PRON,NOUN PUNCT PRON AUX,PUNCT PRON AUX,PUNCT PRON AUX ADV,False,False
197,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT VERB,ADV PUNCT VERB PRON,PUNCT VERB PRON,PUNCT VERB PRON ADV,False,False
198,AGA,False,Using 'It' incorrectly,PRON VERB,PUNCT PRON VERB ADJ,PRON VERB ADJ,PRON VERB ADJ CCONJ,False,True
200,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT PRON,ADV PUNCT PRON ADV,PUNCT PRON ADV,PUNCT PRON ADV PUNCT,False,False
201,MP,True,Chinese sentence structure differs from English,DET AUX,ADJ DET AUX ADV,DET AUX ADV,DET AUX ADV ADJ,False,False
202,DD,False,Pronoun not used in Chinese,PRON NOUN,PUNCT PRON NOUN AUX,PRON NOUN AUX,PRON NOUN AUX ADV,False,True
203,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT DET,ADJ PUNCT DET NOUN,PUNCT DET NOUN,PUNCT DET NOUN AUX,False,False
204,RP,True,Word not capitalized,PROPN PROPN,SCONJ PROPN PROPN ADP,PROPN PROPN ADP,PROPN PROPN ADP PROPN,False,False
205,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT PRON,ADV PUNCT PRON VERB,PUNCT PRON VERB,PUNCT PRON VERB VERB,True,True
206,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT DET,NOUN PUNCT DET AUX,PUNCT DET AUX,PUNCT DET AUX ADV,False,False
207,FJ,True,Chinese would use word in this context,ADV ADJ,AUX ADV ADJ PUNCT,ADV ADJ PUNCT,ADV ADJ PUNCT SCONJ,False,False
208,FV,False,"Using the infinitive form of the verb with ""to"" instead of using present tense or present progressive",PART VERB,ADP PART VERB PUNCT,PART VERB PUNCT,PART VERB PUNCT VERB,True,False
209,RQ,True,Phrases map to the same Chinese phrase,DET DET,PRON DET DET NOUN,DET DET NOUN,DET DET NOUN PUNCT,False,False
210,TV,True,Missing auxiliary with tense errors,VERB VERB,NOUN VERB VERB ADP,VERB VERB ADP,VERB VERB ADP DET,False,False
211,TV,False,-,AUX VERB,NOUN AUX VERB PROPN,AUX VERB PROPN,AUX VERB PROPN PROPN,False,True
212,TV,False,This person is overusing auxiliaries/modal verbs,AUX AUX,PRON AUX AUX VERB,AUX AUX VERB,AUX AUX VERB ADP,False,True
213,TV,True,Missing auxiliary with tense errors,AUX VERB,PRON AUX VERB ADP,AUX VERB ADP,AUX VERB ADP DET,False,False
215,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT PRON,NOUN PUNCT PRON VERB,PUNCT PRON VERB,PUNCT PRON VERB VERB,True,True
216,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT PRON,NOUN PUNCT PRON VERB,PUNCT PRON VERB,PUNCT PRON VERB VERB,True,True
218,UD,False,Overcorrection,DET ADJ,DET ADJ NOUN,DET ADJ NOUN,DET ADJ NOUN AUX,False,True
221,FV,True,Progressive aspect not applied,VERB PRON,PUNCT VERB PRON ADV,VERB PRON ADV,VERB PRON ADV ADP,False,False
222,RP,False,Overcorrection,PUNCT VERB,NOUN PUNCT VERB PRON,PUNCT VERB PRON,PUNCT VERB PRON ADV,False,True
223,RP,False,Overcorrection,DET ADV,PRON DET ADV ADP,DET ADV ADP,DET ADV ADP PRON,False,True
225,RP,False,Overcorrection,PUNCT PRON,NOUN PUNCT PRON VERB,PUNCT PRON VERB,PUNCT PRON VERB PART,True,False
226,RP,False,Overcorrection,DET ADV,VERB DET ADV PART,DET ADV PART,DET ADV PART VERB,True,False
227,W,True,Sentence could be valid in Chinese,ADV AUX,PRON ADV AUX PART,ADV AUX PART,ADV AUX PART VERB,False,False
228,DN,True,English words map to the same Chinese word,NOUN NOUN,DET NOUN NOUN PUNCT,NOUN NOUN PUNCT,NOUN NOUN PUNCT PRON,True,True
229,FN,True,Missing plural,NOUN CCONJ,DET NOUN CCONJ NOUN,NOUN CCONJ NOUN,NOUN CCONJ NOUN PUNCT,True,True
230,FN,True,Missing plural,NOUN PUNCT,CCONJ NOUN PUNCT,NOUN PUNCT,NOUN PUNCT,True,True
231,DJ,True,"Chinese verbs, adjectives, and nouns sometimes are the same",ADV PUNCT,ADJ ADV PUNCT ADV,ADV PUNCT ADV,ADV PUNCT ADV PUNCT,True,True
232,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT VERB,ADP PUNCT VERB PRON,PUNCT VERB PRON,PUNCT VERB PRON AUX,False,False
236,W,False,Order is incorrect in Chinese and English,AUX ADV,PART AUX ADV ADJ,AUX ADV ADJ,AUX ADV ADJ PUNCT,False,True
237,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT DET,PROPN PUNCT DET NOUN,PUNCT DET NOUN,PUNCT DET NOUN AUX,False,False
238,RP,False,Unexplainable punctuation used,PUNCT SCONJ,ADJ PUNCT SCONJ PUNCT,PUNCT SCONJ PUNCT,PUNCT SCONJ PUNCT,False,True
239,TV,True,Chinese generally expresses actions in present tense,VERB ADV,PRON VERB ADV PRON,VERB ADV PRON,VERB ADV PRON VERB,True,True
240,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT PRON,VERB PUNCT PRON DET,PUNCT PRON DET,PUNCT PRON DET VERB,False,False
241,TV,True,Chinese generally expresses actions in present tense,VERB ADV,PRON VERB ADV PRON,VERB ADV PRON,VERB ADV PRON VERB,True,True
242,RP,False,Punctuation error related to Spelling errors (extra spaces),NOUN NOUN,DET NOUN NOUN CCONJ,NOUN NOUN CCONJ,NOUN NOUN CCONJ NOUN,True,False
243,RP,False,Punctuation error related to Spelling errors (extra spaces),DET NOUN,PRON DET NOUN DET,DET NOUN DET,DET NOUN DET ADP,False,True
244,FV,False,"Using the infinitive form of the verb with ""to"" instead of using present tense or present progressive",PART VERB,PRON PART VERB ADV,PART VERB ADV,PART VERB ADV DET,False,True
245,RP,False,Punctuation error related to Spelling errors (extra spaces),DET NOUN,SCONJ DET NOUN VERB,DET NOUN VERB,DET NOUN VERB ADJ,False,True
246,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT DET,ADJ PUNCT DET NOUN,PUNCT DET NOUN,PUNCT DET NOUN ADV,False,False
248,FN,True,Missing plural,NOUN VERB,PUNCT NOUN VERB ADV,NOUN VERB ADV,NOUN VERB ADV VERB,True,True
249,DA,False,Misunderstanding of word usage/meaning,DET NOUN,VERB DET NOUN ADP,DET NOUN ADP,DET NOUN ADP ADJ,False,True
250,FV,True,"Chinese verbs, adjectives, and nouns sometimes are the same",VERB ADP,CCONJ VERB ADP DET,VERB ADP DET,VERB ADP DET NOUN,False,False
251,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT ADP,NOUN PUNCT ADP DET,PUNCT ADP DET,PUNCT ADP DET PROPN,False,False
252,DN,False,Equivalent word exists but is not used,PROPN NUM,ADP PROPN NUM ADV,PROPN NUM ADV,PROPN NUM ADV ADJ,False,True
253,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT ADV,VERB PUNCT ADV ADJ,PUNCT ADV ADJ,PUNCT ADV ADJ NOUN,False,False
254,DJ,True,"Chinese verbs, adjectives, and nouns sometimes are the same",PROPN NOUN,PROPN NOUN NOUN,PROPN NOUN NOUN,PROPN NOUN NOUN PUNCT,True,True
255,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT PRON,ADV PUNCT PRON AUX,PUNCT PRON AUX,PUNCT PRON AUX AUX,False,False
256,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT ADJ,NOUN PUNCT ADJ ADP,PUNCT ADJ ADP,PUNCT ADJ ADP PRON,False,False
257,DA,False,Misunderstanding of word usage/meaning,PRON NOUN,ADP PRON NOUN CCONJ,PRON NOUN CCONJ,PRON NOUN CCONJ DET,False,True
258,IN,False,Incorrect plural inflection,NOUN PUNCT,DET NOUN PUNCT,NOUN PUNCT,NOUN PUNCT,True,False
259,FN,False,Number disagreement,PROPN NOUN,DET PROPN NOUN PUNCT,PROPN NOUN PUNCT,PROPN NOUN PUNCT,True,False
260,DJ,False,Spelling error,NOUN ADJ,ADV NOUN ADJ PUNCT,NOUN ADJ PUNCT,NOUN ADJ PUNCT VERB,True,False
261,RP,False,Punctuation error related to Spelling errors (extra spaces),NOUN NOUN,CCONJ NOUN NOUN PUNCT,NOUN NOUN PUNCT,NOUN NOUN PUNCT ADV,True,False
262,MD,True,Chinese has no articles and doesn't use classifiers in this situation,VERB NOUN,PUNCT VERB NOUN AUX,VERB NOUN AUX,VERB NOUN AUX ADV,False,False
265,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT DET,ADP PUNCT DET AUX,PUNCT DET AUX,PUNCT DET AUX ADV,False,False
266,RP,False,Overcorrection,PUNCT SCONJ,PUNCT PUNCT SCONJ ADV,PUNCT SCONJ ADV,PUNCT SCONJ ADV ADV,False,True
267,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT DET,ADJ PUNCT DET AUX,PUNCT DET AUX,PUNCT DET AUX ADV,False,False
268,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT PRON,NOUN PUNCT PRON AUX,PUNCT PRON AUX,PUNCT PRON AUX DET,False,False
269,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT VERB,NOUN PUNCT VERB DET,PUNCT VERB DET,PUNCT VERB DET NOUN,False,False
270,FV,False,"Using the infinitive form of the verb with ""to"" instead of using present tense or present progressive",PART VERB,VERB PART VERB SCONJ,PART VERB SCONJ,PART VERB SCONJ PRON,False,True
271,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT PRON,NOUN PUNCT PRON AUX,PUNCT PRON AUX,PUNCT PRON AUX PART,False,False
272,TV,False,Overusing auxiliary,AUX VERB,PRON AUX VERB DET,AUX VERB DET,AUX VERB DET NOUN,False,True
273,RP,False,Overcorrection,PUNCT SCONJ,PROPN PUNCT SCONJ DET,PUNCT SCONJ DET,PUNCT SCONJ DET NOUN,False,True
274,FV,False,Incorrectly using past tense,VERB ADP,ADP VERB ADP DET,VERB ADP DET,VERB ADP DET ADJ,False,True
275,RP,False,Overcorrection,PUNCT DET,VERB PUNCT DET ADP,PUNCT DET ADP,PUNCT DET ADP PRON,False,True
276,TV,False,Using past participle instead of past tense,AUX VERB,PRON AUX VERB DET,AUX VERB DET,AUX VERB DET NOUN,False,True
280,U,False,Wordiness,ADP DET,ADJ ADP DET NOUN,ADP DET NOUN,ADP DET NOUN VERB,True,False
281,L,True,Phrases map to the same Chinese phrase,NOUN PUNCT,ADP NOUN PUNCT SCONJ,NOUN PUNCT SCONJ,NOUN PUNCT SCONJ PRON,False,False
282,DY,True,"Chinese verbs, adjectives, and nouns sometimes are the same",PROPN PUNCT,ADP PROPN PUNCT PRON,PROPN PUNCT PRON,PROPN PUNCT PRON VERB,True,True
283,TV,True,Modal used for polite speech,VERB VERB,PRON VERB VERB PRON,VERB VERB PRON,VERB VERB PRON VERB,True,True
284,MT,True,Chinese doesn't use the word in this context,DET NOUN,PUNCT DET NOUN AUX,DET NOUN AUX,DET NOUN AUX ADV,False,False
285,RP,False,Overcorrection,PUNCT ADV,NOUN PUNCT ADV PRON,PUNCT ADV PRON,PUNCT ADV PRON VERB,True,False
286,RP,False,Overcorrection,PUNCT SCONJ,ADJ PUNCT SCONJ ADP,PUNCT SCONJ ADP,PUNCT SCONJ ADP DET,False,True
288,RP,False,Overcorrection,PUNCT ADV,VERB PUNCT ADV VERB,PUNCT ADV VERB,PUNCT ADV VERB ADP,True,False
289,U,False,Wordiness,DET NOUN,VERB DET NOUN CCONJ,DET NOUN CCONJ,DET NOUN CCONJ VERB,True,False
290,U,False,Wordiness,ADP NOUN,NOUN ADP NOUN PUNCT,ADP NOUN PUNCT,ADP NOUN PUNCT ADV,False,True
291,TV,False,Using past participle instead of past tense,AUX AUX,PRON AUX AUX ADP,AUX AUX ADP,AUX AUX ADP DET,False,True
293,RP,False,Overcorrection,PUNCT SCONJ,NOUN PUNCT SCONJ DET,PUNCT SCONJ DET,PUNCT SCONJ DET NOUN,False,True
294,RP,False,Overcorrection,PUNCT SCONJ,NOUN PUNCT SCONJ DET,PUNCT SCONJ DET,PUNCT SCONJ DET NOUN,False,True
295,DY,True,"Chinese verbs, adjectives, and nouns sometimes are the same",ADJ CCONJ,PRON ADJ CCONJ ADV,ADJ CCONJ ADV,ADJ CCONJ ADV ADJ,False,False
296,DJ,True,"Chinese verbs, adjectives, and nouns sometimes are the same",NOUN PUNCT,ADJ NOUN PUNCT,NOUN PUNCT,NOUN PUNCT,True,True
297,U,True,Chinese sentence structure differs from English,PUNCT PRON,PROPN PUNCT PRON AUX,PUNCT PRON AUX,PUNCT PRON AUX VERB,False,False
298,MP,False,Missing apostrophy,NOUN NOUN,DET NOUN NOUN VERB,NOUN NOUN VERB,NOUN NOUN VERB PRON,True,False
299,RP,False,Overcorrection,PUNCT SCONJ,ADJ PUNCT SCONJ PRON,PUNCT SCONJ PRON,PUNCT SCONJ PRON VERB,False,True
300,TV,True,Missing auxiliary with tense errors,ADV VERB,PRON ADV VERB DET,ADV VERB DET,ADV VERB DET NOUN,False,False
302,FN,True,Missing plural,NOUN CCONJ,DET NOUN CCONJ NOUN,NOUN CCONJ NOUN,NOUN CCONJ NOUN PUNCT,True,True
303,TV,True,Chinese generally expresses actions in present tense,VERB PUNCT,ADV VERB PUNCT PROPN,VERB PUNCT PROPN,VERB PUNCT PROPN AUX,False,False
304,TV,True,Chinese generally expresses actions in present tense,NOUN ADP,CCONJ NOUN ADP DET,NOUN ADP DET,NOUN ADP DET NOUN,False,False
305,MP,True,Chinese doesn't use hyphens in words,ADJ NOUN,DET ADJ NOUN NOUN,ADJ NOUN NOUN,ADJ NOUN NOUN PUNCT,True,True
306,AGV,True,Not applying the 3rd person present tense suffix -s,VERB ADJ,ADV VERB ADJ PUNCT,VERB ADJ PUNCT,VERB ADJ PUNCT DET,False,False
307,TV,True,Chinese generally expresses actions in present tense,ADV VERB,PRON ADV VERB ADJ,ADV VERB ADJ,ADV VERB ADJ PUNCT,False,False
308,TV,False,Incorrect auxiliary used,AUX AUX,PRON AUX AUX ADP,AUX AUX ADP,AUX AUX ADP NUM,False,True
309,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT PRON,PROPN PUNCT PRON AUX,PUNCT PRON AUX,PUNCT PRON AUX ADV,False,False
310,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT VERB,ADJ PUNCT VERB PRON,PUNCT VERB PRON,PUNCT VERB PRON VERB,True,True
311,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT NOUN,ADJ PUNCT NOUN VERB,PUNCT NOUN VERB,PUNCT NOUN VERB PRON,True,True
312,W,False,Order is incorrect in Chinese and English,AUX ADV,VERB AUX ADV SCONJ,AUX ADV SCONJ,AUX ADV SCONJ DET,False,True
313,RP,False,Overcorrection,PUNCT ADP,DET PUNCT ADP NOUN,PUNCT ADP NOUN,PUNCT ADP NOUN PUNCT,False,True
314,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT PRON,NOUN PUNCT PRON AUX,PUNCT PRON AUX,PUNCT PRON AUX PART,False,False
315,TV,True,Modal used for polite speech,VERB VERB,PRON VERB VERB ADV,VERB VERB ADV,VERB VERB ADV ADP,False,False
316,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT PRON,NOUN PUNCT PRON AUX,PUNCT PRON AUX,PUNCT PRON AUX PART,False,False
317,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT DET,NOUN PUNCT DET AUX,PUNCT DET AUX,PUNCT DET AUX DET,False,False
318,MP,True,Chinese doesn't use hyphens in words,VERB ADP,PUNCT VERB ADP CCONJ,VERB ADP CCONJ,VERB ADP CCONJ NOUN,False,False
319,MP,True,Chinese sentence structure differs from English,PRON VERB,NOUN PRON VERB ADV,PRON VERB ADV,PRON VERB ADV AUX,False,False
320,MP,True,Chinese sentence structure differs from English,NOUN VERB,ADJ NOUN VERB NOUN,NOUN VERB NOUN,NOUN VERB NOUN ADV,True,True
321,FN,True,Missing plural,NOUN ADV,ADJ NOUN ADV ADP,NOUN ADV ADP,NOUN ADV ADP ADV,False,False
322,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT ADV,NOUN PUNCT ADV NOUN,PUNCT ADV NOUN,PUNCT ADV NOUN AUX,True,True
323,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT CCONJ,NOUN PUNCT CCONJ PRON,PUNCT CCONJ PRON,PUNCT CCONJ PRON AUX,False,False
325,MA,True,Chinese is a pro-drop language,ADV AUX,PUNCT ADV AUX PART,ADV AUX PART,ADV AUX PART VERB,False,False
326,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT PRON,NOUN PUNCT PRON VERB,PUNCT PRON VERB,PUNCT PRON VERB ADV,False,False
327,MP,True,Chinese sentence structure differs from English,SCONJ PRON,NOUN SCONJ PRON VERB,SCONJ PRON VERB,SCONJ PRON VERB AUX,False,False
328,RP,False,Overcorrection,PUNCT SCONJ,PROPN PUNCT SCONJ PRON,PUNCT SCONJ PRON,PUNCT SCONJ PRON AUX,False,True
329,RP,False,Overcorrection,PUNCT SCONJ,PROPN PUNCT SCONJ PRON,PUNCT SCONJ PRON,PUNCT SCONJ PRON AUX,False,True
330,AGN,True,Number error,NOUN DET,ADP NOUN DET PRON,NOUN DET PRON,NOUN DET PRON VERB,True,True
331,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT DET,VERB PUNCT DET NOUN,PUNCT DET NOUN,PUNCT DET NOUN ADP,False,False
333,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT PRON,NOUN PUNCT PRON VERB,PUNCT PRON VERB,PUNCT PRON VERB PART,True,True
334,RP,False,Overcorrection,PUNCT SCONJ,VERB PUNCT SCONJ PRON,PUNCT SCONJ PRON,PUNCT SCONJ PRON AUX,False,True
337,DJ,False,Chinese would also use distinct adjective form,NOUN NOUN,ADJ NOUN NOUN PUNCT,NOUN NOUN PUNCT,NOUN NOUN PUNCT,True,False
338,RP,False,Punctuation error related to Spelling errors (extra spaces),VERB PART,PRON VERB PART VERB,VERB PART VERB,VERB PART VERB PRON,True,False
339,FV,False,Passive voice used incorrectly,AUX VERB,ADP AUX VERB DET,AUX VERB DET,AUX VERB DET NOUN,False,True
340,TV,True,Thoughts and feelings are usually in present tense in Chinese,VERB VERB,PRON VERB VERB DET,VERB VERB DET,VERB VERB DET ADJ,False,False
342,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT PRON,PROPN PUNCT PRON VERB,PUNCT PRON VERB,PUNCT PRON VERB AUX,False,False
344,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT PRON,NOUN PUNCT PRON DET,PUNCT PRON DET,PUNCT PRON DET NOUN,False,False
345,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT DET,NOUN PUNCT DET NOUN,PUNCT DET NOUN,PUNCT DET NOUN PRON,False,False
346,MP,True,Chinese doesn't use hyphens in words,VERB ADP,VERB VERB ADP PUNCT,VERB ADP PUNCT,VERB ADP PUNCT VERB,True,True
347,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT ADV,VERB PUNCT ADV SCONJ,PUNCT ADV SCONJ,PUNCT ADV SCONJ PRON,False,False
348,FV,False,Present continuous tense used incorrectly,AUX VERB,VERB AUX VERB ADP,AUX VERB ADP,AUX VERB ADP DET,False,True
349,AGQ,True,Phrases map to the same Chinese phrase,DET NOUN,PUNCT DET NOUN ADP,DET NOUN ADP,DET NOUN ADP DET,False,False
350,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT ADV,NOUN PUNCT ADV PRON,PUNCT ADV PRON,PUNCT ADV PRON AUX,False,False
351,W,False,Interrogative structure used in a non-interrogative sentence,PRON AUX,ADV PRON AUX DET,PRON AUX DET,PRON AUX DET NOUN,False,True
353,TV,False,Incorrect auxiliary used,VERB VERB,PRON VERB VERB DET,VERB VERB DET,VERB VERB DET NOUN,False,True
354,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT ADV,PRON PUNCT ADV ADV,PUNCT ADV ADV,PUNCT ADV ADV PUNCT,True,True
356,TV,False,Past participle used instead of past tense,AUX VERB,PRON AUX VERB DET,AUX VERB DET,AUX VERB DET NOUN,False,True
358,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT DET,NUM PUNCT DET AUX,PUNCT DET AUX,PUNCT DET AUX ADJ,False,False
359,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT PRON,ADJ PUNCT PRON VERB,PUNCT PRON VERB,PUNCT PRON VERB NOUN,True,True
360,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT ADP,NOUN PUNCT ADP PRON,PUNCT ADP PRON,PUNCT ADP PRON PRON,False,False
361,W,True,Sentence could be valid in Chinese,ADV ADP,AUX ADV ADP NUM,ADV ADP NUM,ADV ADP NUM NOUN,False,False
362,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT DET,ADJ PUNCT DET NOUN,PUNCT DET NOUN,PUNCT DET NOUN ADP,False,False
363,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT SCONJ,NOUN PUNCT SCONJ PRON,PUNCT SCONJ PRON,PUNCT SCONJ PRON AUX,False,False
364,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT VERB,ADJ PUNCT VERB PRON,PUNCT VERB PRON,PUNCT VERB PRON ADV,False,False
365,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT PRON,NOUN PUNCT PRON VERB,PUNCT PRON VERB,PUNCT PRON VERB PRON,True,True
366,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT PRON,NOUN PUNCT PRON VERB,PUNCT PRON VERB,PUNCT PRON VERB PART,True,True
367,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT PRON,NOUN PUNCT PRON AUX,PUNCT PRON AUX,PUNCT PRON AUX ADV,False,False
368,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT ADV,NOUN PUNCT ADV NOUN,PUNCT ADV NOUN,PUNCT ADV NOUN VERB,True,True
369,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT SCONJ,PRON PUNCT SCONJ PRON,PUNCT SCONJ PRON,PUNCT SCONJ PRON VERB,False,False
371,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT DET,NOUN PUNCT DET NOUN,PUNCT DET NOUN,PUNCT DET NOUN AUX,False,False
372,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT INTJ,ADJ PUNCT INTJ PUNCT,PUNCT INTJ PUNCT,PUNCT INTJ PUNCT ADV,False,False
373,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT INTJ,ADJ PUNCT INTJ VERB,PUNCT INTJ VERB,PUNCT INTJ VERB DET,False,False
374,DJ,True,Chinese doesn't use hyphens in words,NUM NOUN,DET NUM NOUN NOUN,NUM NOUN NOUN,NUM NOUN NOUN ADP,True,True
376,FV,False,"Using the infinitive form of the verb with ""to"" instead of using present tense or present progressive",PART VERB,ADP PART VERB ADP,PART VERB ADP,PART VERB ADP DET,False,True
377,RP,False,Punctuation error related to Spelling errors (extra spaces),DET NOUN,ADP DET NOUN PUNCT,DET NOUN PUNCT,DET NOUN PUNCT,False,True
378,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT PRON,NOUN PUNCT PRON AUX,PUNCT PRON AUX,PUNCT PRON AUX NOUN,False,False
379,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT DET,NOUN PUNCT DET AUX,PUNCT DET AUX,PUNCT DET AUX ADJ,False,False
380,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT PRON,VERB PUNCT PRON AUX,PUNCT PRON AUX,PUNCT PRON AUX ADV,False,False
381,UP,True,Chinese uses commas to mark the end of a complete thought,PUNCT PRON,NOUN PUNCT PRON AUX,PUNCT PRON AUX,PUNCT PRON AUX ADP,False,False
382,MP,True,Chinese doesn't use hyphens in words,VERB ADP,PUNCT VERB ADP CCONJ,VERB ADP CCONJ,VERB ADP CCONJ NOUN,False,False
383,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT DET,NOUN PUNCT DET ADP,PUNCT DET ADP,PUNCT DET ADP PRON,False,False
384,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT PRON,NOUN PUNCT PRON VERB,PUNCT PRON VERB,PUNCT PRON VERB PART,True,True
385,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT PRON,ADJ PUNCT PRON ADV,PUNCT PRON ADV,PUNCT PRON ADV AUX,False,False
386,DJ,True,Chinese doesn't use hyphens in words,NUM NOUN,DET NUM NOUN NOUN,NUM NOUN NOUN,NUM NOUN NOUN ADP,True,True
387,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT PRON,NOUN PUNCT PRON AUX,PUNCT PRON AUX,PUNCT PRON AUX ADJ,False,False
